Drawig number,parameters,specification,instIdNo,evaluation
5C123015/1,TOTAL LENGTH,1137.00(+0.00/-0.50),KFC/A/VC/001,VERNIER CALIPER
5C123015/1,SLOT C D,1042.00 ±0.20,KFC/A/VC/001,VERNIER CALIPER
5C123015/1,HOLE C D,992.00 ±0.20,KFC/A/VC/001,VERNIER CALIPER
5C123015/1,HOLE DIAMETER,Ø25.00 ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,STEP CUTTING LENGTH,61.00 (+0.50/-0.00),KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,STEP CUTTING WIDTH,35.60 ±0.30,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,STEP CUTTING LENGTH,57.30 ±0.30,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,STEPP CUTTING WIDTH,18.00 (+0.50/-0.00),KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,HOLE C D LENGTH,72.50 ±0.30,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,SLOT LENGTH,12.00  ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,SLOT WIDTH,9.00 ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,SLOT  C D,28.20 ±0.30,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,SLOT LENGTH,10.00 ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C123015/1,SLOT WIDTH,7.00 ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C113071/1,TOTAL LENGTH,1034.00 (+0.00/-0.50),KFC/A/VC/001, VERNIER CALIPER
5C113071/1,SLOT LENGTH,20.00 ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C113071/1,SLOT WIDTH,18.50  ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C113071/1,SLOT WIDTH,13.00 ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C113071/1,SLOT WIDTH,9.00 ±0.20,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C113071/1,SLOT C D LENGTH,58.50 ±0.30,KFC/D/VC/098,DIGITAL VERNIER CALIPER
5C113071/1,SURFACE FINISH,NO SCRATCH & LINE MARK,……………..,VISUAL
5C113071/1,TWIST UPTO 1034 MM,0.2,……………..,FEELER GAUGE
5C113071/1,STRAIGHTNESS UPTO 1034 MM,0.3,……………..,FEELER GAUGE
5C113071/1,VERTICAL BEND,0.3,……………..,FEELER GAUGE
5C113071/1,APPEARANCE ,"NO BURR , DENT & DAMAGES",……………..,VISUAL
